dataset,method,sample_id,algorithm,noise_frac,repetition,n_nodes,n_edges,n_swaps,preserve_connectivity,gt_valid,gt_reason,node_overlap_frac_gt_wrt_graph,ARI_gt,NMI_gt,VI_gt,Jaccard_gt,n_eval_nodes_gt,ARI_stability,NMI_stability,VI_stability,Jaccard_stability,n_eval_nodes_stability,error
karate,EC-SBM,0,Louvain,0.0,0,34.0,76.0,0.0,0.0,1.0,ok,1.0,0.3788575180564675,0.38580292831143104,1.1968469377663606,0.43234323432343236,34.0,1.0,1.0,-4.440892098500626e-16,1.0,34.0,
karate,EC-SBM,0,LabelProp,0.0,0,34.0,76.0,0.0,0.0,1.0,ok,1.0,0.3116036505867014,0.314559575886984,1.1125353795342883,0.44508670520231214,34.0,1.0,1.0,0.0,1.0,34.0,
karate,EC-SBM,0,Infomap,0.0,0,34.0,76.0,0.0,0.0,1.0,ok,1.0,0.6762589928057554,0.6722969313023806,0.5662285952514015,0.6785714285714286,34.0,1.0,1.0,0.0,1.0,34.0,
karate,EC-SBM,0,Louvain,0.0,1,34.0,76.0,0.0,0.0,1.0,ok,1.0,0.3788575180564675,0.38580292831143104,1.1968469377663606,0.43234323432343236,34.0,1.0,1.0,-4.440892098500626e-16,1.0,34.0,
karate,EC-SBM,0,LabelProp,0.0,1,34.0,76.0,0.0,0.0,1.0,ok,1.0,0.3116036505867014,0.314559575886984,1.1125353795342883,0.44508670520231214,34.0,1.0,1.0,0.0,1.0,34.0,
karate,EC-SBM,0,Infomap,0.0,1,34.0,76.0,0.0,0.0,1.0,ok,1.0,0.6762589928057554,0.6722969313023806,0.5662285952514015,0.6785714285714286,34.0,1.0,1.0,0.0,1.0,34.0,
karate,EC-SBM,0,Louvain,0.0,2,34.0,76.0,0.0,0.0,1.0,ok,1.0,0.3788575180564675,0.38580292831143104,1.1968469377663606,0.43234323432343236,34.0,1.0,1.0,-4.440892098500626e-16,1.0,34.0,
karate,EC-SBM,0,LabelProp,0.0,2,34.0,76.0,0.0,0.0,1.0,ok,1.0,0.3116036505867014,0.314559575886984,1.1125353795342883,0.44508670520231214,34.0,1.0,1.0,0.0,1.0,34.0,
karate,EC-SBM,0,Infomap,0.0,2,34.0,76.0,0.0,0.0,1.0,ok,1.0,0.6762589928057554,0.6722969313023806,0.5662285952514015,0.6785714285714286,34.0,1.0,1.0,0.0,1.0,34.0,
karate,EC-SBM,0,Louvain,0.1,0,34.0,76.0,4.0,0.0,1.0,ok,1.0,0.3580613254203759,0.3998198897637943,1.3181075625528673,0.3811188811188811,34.0,0.45317537677138786,0.5590193920690281,1.2164577905774314,0.417910447761194,34.0,
karate,EC-SBM,0,LabelProp,0.1,0,34.0,76.0,4.0,0.0,1.0,ok,1.0,0.0,0.0,0.6931471805599453,0.48484848484848486,34.0,0.0,0.0,0.9299484823110443,0.40641711229946526,34.0,
karate,EC-SBM,0,Infomap,0.1,0,34.0,76.0,4.0,0.0,1.0,ok,1.0,0.48042860266783294,0.44954610280885465,1.0580784844928122,0.5085324232081911,34.0,0.7338709677419355,0.7331106462237919,0.6041759189404958,0.695852534562212,34.0,
karate,EC-SBM,0,Louvain,0.1,1,34.0,76.0,4.0,0.0,1.0,ok,1.0,0.17118307997356247,0.2746794999422197,1.6591296822215136,0.2425249169435216,34.0,0.24911347517730498,0.4714595366717629,1.5062271267094685,0.2631578947368421,34.0,
karate,EC-SBM,0,LabelProp,0.1,1,34.0,76.0,4.0,0.0,1.0,ok,1.0,0.0,0.0,0.6931471805599453,0.48484848484848486,34.0,0.0,0.0,0.9299484823110443,0.40641711229946526,34.0,
